+----------------------+------+--------+-------+--------------+
|      series id       | year | period | value |  footnotes   |
+----------------------+------+--------+-------+--------------+
| LAUCN281070000000003 | 2023 |  M01   |  4.2  | Preliminary. |
| LAUCN281070000000003 | 2022 |  M12   |  4.0  | Preliminary. |
| LAUCN281070000000003 | 2022 |  M11   |  4.3  |              |
| LAUCN281070000000003 | 2022 |  M10   |  4.1  |              |
| LAUCN281070000000003 | 2022 |  M09   |  4.5  |              |
| LAUCN281070000000003 | 2022 |  M08   |  4.5  |              |
| LAUCN281070000000003 | 2022 |  M07   |  5.4  |              |
| LAUCN281070000000003 | 2022 |  M06   |  5.5  |              |
| LAUCN281070000000003 | 2022 |  M05   |  4.7  |              |
| LAUCN281070000000003 | 2022 |  M04   |  4.6  |              |
| LAUCN281070000000003 | 2022 |  M03   |  4.5  |              |
| LAUCN281070000000003 | 2022 |  M02   |  5.6  |              |
| LAUCN281070000000003 | 2022 |  M01   |  6.1  |              |
| LAUCN281070000000003 | 2021 |  M12   |  4.5  |              |
| LAUCN281070000000003 | 2021 |  M11   |  4.6  |              |
| LAUCN281070000000003 | 2021 |  M10   |  5.3  |              |
| LAUCN281070000000003 | 2021 |  M09   |  5.9  |              |
| LAUCN281070000000003 | 2021 |  M08   |  7.0  |              |
| LAUCN281070000000003 | 2021 |  M07   |  7.8  |              |
| LAUCN281070000000003 | 2021 |  M06   |  8.8  |              |
| LAUCN281070000000003 | 2021 |  M05   |  7.8  |              |
| LAUCN281070000000003 | 2021 |  M04   |  7.5  |              |
| LAUCN281070000000003 | 2021 |  M03   |  8.3  |              |
| LAUCN281070000000003 | 2021 |  M02   |  8.6  |              |
| LAUCN281070000000003 | 2021 |  M01   |  8.9  |              |
| LAUCN281070000000003 | 2020 |  M12   |  8.2  |              |
| LAUCN281070000000003 | 2020 |  M11   |  8.1  |              |
| LAUCN281070000000003 | 2020 |  M10   |  8.2  |              |
| LAUCN281070000000003 | 2020 |  M09   |  9.3  |              |
| LAUCN281070000000003 | 2020 |  M08   |  9.3  |              |
| LAUCN281070000000003 | 2020 |  M07   |  12.2 |              |
| LAUCN281070000000003 | 2020 |  M06   |  12.4 |              |
| LAUCN281070000000003 | 2020 |  M05   |  12.1 |              |
| LAUCN281070000000003 | 2020 |  M04   |  15.0 |              |
| LAUCN281070000000003 | 2020 |  M03   |  7.9  |              |
