+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS13000000 | 2023 |  M02   |  5936 |           |
| LNS13000000 | 2023 |  M01   |  5694 |           |
| LNS13000000 | 2022 |  M12   |  5722 |           |
| LNS13000000 | 2022 |  M11   |  6000 |           |
| LNS13000000 | 2022 |  M10   |  6053 |           |
| LNS13000000 | 2022 |  M09   |  5770 |           |
| LNS13000000 | 2022 |  M08   |  6021 |           |
| LNS13000000 | 2022 |  M07   |  5718 |           |
| LNS13000000 | 2022 |  M06   |  5945 |           |
| LNS13000000 | 2022 |  M05   |  5979 |           |
| LNS13000000 | 2022 |  M04   |  5968 |           |
| LNS13000000 | 2022 |  M03   |  5972 |           |
| LNS13000000 | 2022 |  M02   |  6272 |           |
| LNS13000000 | 2022 |  M01   |  6511 |           |
| LNS13000000 | 2021 |  M12   |  6329 |           |
| LNS13000000 | 2021 |  M11   |  6780 |           |
| LNS13000000 | 2021 |  M10   |  7345 |           |
| LNS13000000 | 2021 |  M09   |  7677 |           |
| LNS13000000 | 2021 |  M08   |  8324 |           |
| LNS13000000 | 2021 |  M07   |  8704 |           |
| LNS13000000 | 2021 |  M06   |  9508 |           |
| LNS13000000 | 2021 |  M05   |  9257 |           |
| LNS13000000 | 2021 |  M04   |  9737 |           |
| LNS13000000 | 2021 |  M03   |  9712 |           |
| LNS13000000 | 2021 |  M02   |  9982 |           |
| LNS13000000 | 2021 |  M01   | 10155 |           |
| LNS13000000 | 2020 |  M12   | 10795 |           |
| LNS13000000 | 2020 |  M11   | 10760 |           |
| LNS13000000 | 2020 |  M10   | 11090 |           |
| LNS13000000 | 2020 |  M09   | 12599 |           |
| LNS13000000 | 2020 |  M08   | 13521 |           |
| LNS13000000 | 2020 |  M07   | 16324 |           |
| LNS13000000 | 2020 |  M06   | 17624 |           |
| LNS13000000 | 2020 |  M05   | 20939 |           |
| LNS13000000 | 2020 |  M04   | 23050 |           |
| LNS13000000 | 2020 |  M03   |  7184 |           |
| LNS13000000 | 2020 |  M02   |  5708 |           |
| LNS13000000 | 2020 |  M01   |  5804 |           |
| LNS13000000 | 2019 |  M12   |  5870 |           |
| LNS13000000 | 2019 |  M11   |  5911 |           |
| LNS13000000 | 2019 |  M10   |  5957 |           |
| LNS13000000 | 2019 |  M09   |  5775 |           |
| LNS13000000 | 2019 |  M08   |  5981 |           |
| LNS13000000 | 2019 |  M07   |  6008 |           |
| LNS13000000 | 2019 |  M06   |  5909 |           |
| LNS13000000 | 2019 |  M05   |  5941 |           |
| LNS13000000 | 2019 |  M04   |  5911 |           |
| LNS13000000 | 2019 |  M03   |  6182 |           |
| LNS13000000 | 2019 |  M02   |  6115 |           |
| LNS13000000 | 2019 |  M01   |  6439 |           |
| LNS13000000 | 2018 |  M12   |  6389 |           |
| LNS13000000 | 2018 |  M11   |  6115 |           |
| LNS13000000 | 2018 |  M10   |  6211 |           |
| LNS13000000 | 2018 |  M09   |  6073 |           |
| LNS13000000 | 2018 |  M08   |  6156 |           |
| LNS13000000 | 2018 |  M07   |  6195 |           |
| LNS13000000 | 2018 |  M06   |  6447 |           |
| LNS13000000 | 2018 |  M05   |  6196 |           |
| LNS13000000 | 2018 |  M04   |  6459 |           |
| LNS13000000 | 2018 |  M03   |  6472 |           |
| LNS13000000 | 2018 |  M02   |  6581 |           |
| LNS13000000 | 2018 |  M01   |  6489 |           |
| LNS13000000 | 2017 |  M12   |  6632 |           |
