+------------------+------+--------+-------+-----------+
|    series id     | year | period | value | footnotes |
+------------------+------+--------+-------+-----------+
| MLUMS00NN0001003 | 2013 |  M05   |  1383 |           |
| MLUMS00NN0001003 | 2013 |  M04   |  1174 |           |
| MLUMS00NN0001003 | 2013 |  M03   |  1132 |           |
| MLUMS00NN0001003 | 2013 |  M02   |  960  |           |
| MLUMS00NN0001003 | 2013 |  M01   |  1528 |           |
| MLUMS00NN0001003 | 2012 |  M12   |  1973 |           |
| MLUMS00NN0001003 | 2012 |  M11   |  2339 |           |
| MLUMS00NN0001003 | 2012 |  M10   |  1142 |           |
| MLUMS00NN0001003 | 2012 |  M09   |  811  |           |
| MLUMS00NN0001003 | 2012 |  M08   |  1063 |           |
| MLUMS00NN0001003 | 2012 |  M07   |  1515 |           |
| MLUMS00NN0001003 | 2012 |  M06   |  1890 |           |
| MLUMS00NN0001003 | 2012 |  M05   |  1201 |           |
| MLUMS00NN0001003 | 2012 |  M04   |  1421 |           |
| MLUMS00NN0001003 | 2012 |  M03   |  1125 |           |
| MLUMS00NN0001003 | 2012 |  M02   |  895  |           |
| MLUMS00NN0001003 | 2012 |  M01   |  1705 |           |
| MLUMS00NN0001003 | 2011 |  M12   |  2433 |           |
| MLUMS00NN0001003 | 2011 |  M11   |  1393 |           |
| MLUMS00NN0001003 | 2011 |  M10   |  1101 |           |
| MLUMS00NN0001003 | 2011 |  M09   |  1189 |           |
| MLUMS00NN0001003 | 2011 |  M08   |  961  |           |
| MLUMS00NN0001003 | 2011 |  M07   |  2176 |           |
| MLUMS00NN0001003 | 2011 |  M06   |  1661 |           |
| MLUMS00NN0001003 | 2011 |  M05   |  1367 |           |
| MLUMS00NN0001003 | 2011 |  M04   |  1750 |           |
| MLUMS00NN0001003 | 2011 |  M03   |  908  |           |
| MLUMS00NN0001003 | 2011 |  M02   |  1024 |           |
| MLUMS00NN0001003 | 2011 |  M01   |  2558 |           |
| MLUMS00NN0001003 | 2010 |  M12   |  1931 |           |
| MLUMS00NN0001003 | 2010 |  M11   |  1676 |           |
| MLUMS00NN0001003 | 2010 |  M10   |  1642 |           |
| MLUMS00NN0001003 | 2010 |  M09   |  920  |           |
| MLUMS00NN0001003 | 2010 |  M08   |  976  |           |
| MLUMS00NN0001003 | 2010 |  M07   |  2124 |           |
| MLUMS00NN0001003 | 2010 |  M06   |  1861 |           |
| MLUMS00NN0001003 | 2010 |  M05   |  1354 |           |
| MLUMS00NN0001003 | 2010 |  M04   |  1840 |           |
| MLUMS00NN0001003 | 2010 |  M03   |  1197 |           |
| MLUMS00NN0001003 | 2010 |  M02   |  1183 |           |
| MLUMS00NN0001003 | 2010 |  M01   |  2860 |           |
+------------------+------+--------+-------+-----------+
