seriesId,seasonality,survey_name,measure_data_type,commerce_industry,commerce_sector,area,year,period,periodName,value
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2022,Q02,2nd Quarter,8253
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2022,Q01,1st Quarter,8438
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2021,Q04,4th Quarter,9580
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2021,Q03,3rd Quarter,8882
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2021,Q02,2nd Quarter,8196
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2021,Q01,1st Quarter,8322
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2020,Q04,4th Quarter,8797
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2020,Q03,3rd Quarter,10874
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2020,Q02,2nd Quarter,5719
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2020,Q01,1st Quarter,7035
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2019,Q04,4th Quarter,7831
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2019,Q03,3rd Quarter,7398
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2019,Q02,2nd Quarter,7653
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2019,Q01,1st Quarter,7464
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2018,Q04,4th Quarter,7724
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2018,Q03,3rd Quarter,7500
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2018,Q02,2nd Quarter,7673
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2018,Q01,1st Quarter,7497
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2017,Q04,4th Quarter,7772
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2017,Q03,3rd Quarter,7321
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2017,Q02,2nd Quarter,7639
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2017,Q01,1st Quarter,7434
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2016,Q04,4th Quarter,7413
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2016,Q03,3rd Quarter,7710
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2016,Q02,2nd Quarter,7443
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2016,Q01,1st Quarter,7163
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2015,Q04,4th Quarter,7817
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2015,Q03,3rd Quarter,7344
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2015,Q02,2nd Quarter,7580
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2015,Q01,1st Quarter,7046
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2014,Q04,4th Quarter,7617
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2014,Q03,3rd Quarter,7247
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2014,Q02,2nd Quarter,7454
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2014,Q01,1st Quarter,6953
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2013,Q04,4th Quarter,7255
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2013,Q03,3rd Quarter,7058
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2013,Q02,2nd Quarter,7152
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2013,Q01,1st Quarter,6941
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2012,Q04,4th Quarter,7110
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2012,Q03,3rd Quarter,6881
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2012,Q02,2nd Quarter,7051
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2012,Q01,1st Quarter,7080
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2011,Q04,4th Quarter,6865
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2011,Q03,3rd Quarter,7205
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2011,Q02,2nd Quarter,6966
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2011,Q01,1st Quarter,6540
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2010,Q04,4th Quarter,7052
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2010,Q03,3rd Quarter,6741
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2010,Q02,2nd Quarter,6995
BDS0000000000000000110001LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Gains,Total private,Private Sector,U.S. totals,2010,Q01,1st Quarter,6325
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2022,Q02,2nd Quarter,8540
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2022,Q01,1st Quarter,6893
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2021,Q04,4th Quarter,6688
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2021,Q03,3rd Quarter,7408
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2021,Q02,2nd Quarter,7260
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2021,Q01,1st Quarter,6512
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2020,Q04,4th Quarter,6773
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2020,Q03,3rd Quarter,6849
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2020,Q02,2nd Quarter,20340
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2020,Q01,1st Quarter,7838
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2019,Q04,4th Quarter,7081
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2019,Q03,3rd Quarter,7332
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2019,Q02,2nd Quarter,7435
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2019,Q01,1st Quarter,6940
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2018,Q04,4th Quarter,6993
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2018,Q03,3rd Quarter,7409
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2018,Q02,2nd Quarter,7215
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2018,Q01,1st Quarter,6785
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2017,Q04,4th Quarter,6889
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2017,Q03,3rd Quarter,7360
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2017,Q02,2nd Quarter,7113
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2017,Q01,1st Quarter,6783
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2016,Q04,4th Quarter,7105
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2016,Q03,3rd Quarter,6962
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2016,Q02,2nd Quarter,7125
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2016,Q01,1st Quarter,6914
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2015,Q04,4th Quarter,6873
BDS0000000000000000110004LQ5,Seasonally Adjusted,Business Employment Dynamics,Gross Job Losses,Total private,Private Sector,U.S. totals,2015,Q03,3rd Quarter,6869
