seriesId,seasonality,survey_name,measure_data_type,commerce_industry,commerce_sector,area,year,period,periodName,value
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2023,M01,January,15.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M13,Annual,16.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M12,December,16.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M11,November,17.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M10,October,17.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M09,September,17.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M08,August,17.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M07,July,17.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M06,June,17.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M05,May,16.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M04,April,16.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M03,March,14.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M02,February,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M01,January,14.3
