+----------------+------+--------+---------+-----------+
|   series id    | year | period |  value  | footnotes |
+----------------+------+--------+---------+-----------+
| CUUR0000SA0L1E | 2022 |  M12   | 300.113 |           |
| CUUR0000SA0L1E | 2022 |  M11   | 299.600 |           |
| CUUR0000SA0L1E | 2022 |  M10   | 299.315 |           |
| CUUR0000SA0L1E | 2022 |  M09   | 298.442 |           |
| CUUR0000SA0L1E | 2022 |  M08   | 297.178 |           |
| CUUR0000SA0L1E | 2022 |  M07   | 295.646 |           |
| CUUR0000SA0L1E | 2022 |  M06   | 294.680 |           |
| CUUR0000SA0L1E | 2022 |  M05   | 292.506 |           |
| CUUR0000SA0L1E | 2022 |  M04   | 290.846 |           |
| CUUR0000SA0L1E | 2022 |  M03   | 289.305 |           |
| CUUR0000SA0L1E | 2022 |  M02   | 288.059 |           |
| CUUR0000SA0L1E | 2022 |  M01   | 285.996 |           |
| CUUR0000SA0L1E | 2021 |  M12   | 283.908 |           |
| CUUR0000SA0L1E | 2021 |  M11   | 282.754 |           |
| CUUR0000SA0L1E | 2021 |  M10   | 281.617 |           |
| CUUR0000SA0L1E | 2021 |  M09   | 279.884 |           |
| CUUR0000SA0L1E | 2021 |  M08   | 279.507 |           |
| CUUR0000SA0L1E | 2021 |  M07   | 279.146 |           |
| CUUR0000SA0L1E | 2021 |  M06   | 278.218 |           |
| CUUR0000SA0L1E | 2021 |  M05   | 275.893 |           |
| CUUR0000SA0L1E | 2021 |  M04   | 273.968 |           |
| CUUR0000SA0L1E | 2021 |  M03   | 271.713 |           |
| CUUR0000SA0L1E | 2021 |  M02   | 270.696 |           |
| CUUR0000SA0L1E | 2021 |  M01   | 269.755 |           |
| CUUR0000SA0L1E | 2020 |  M12   | 269.226 |           |
| CUUR0000SA0L1E | 2020 |  M11   | 269.473 |           |
| CUUR0000SA0L1E | 2020 |  M10   | 269.328 |           |
| CUUR0000SA0L1E | 2020 |  M09   | 269.054 |           |
| CUUR0000SA0L1E | 2020 |  M08   | 268.756 |           |
| CUUR0000SA0L1E | 2020 |  M07   | 267.703 |           |
| CUUR0000SA0L1E | 2020 |  M06   | 266.302 |           |
| CUUR0000SA0L1E | 2020 |  M05   | 265.799 |           |
| CUUR0000SA0L1E | 2020 |  M04   | 266.089 |           |
| CUUR0000SA0L1E | 2020 |  M03   | 267.312 |           |
| CUUR0000SA0L1E | 2020 |  M02   | 267.268 |           |
| CUUR0000SA0L1E | 2020 |  M01   | 266.004 |           |
| CUUR0000SA0L1E | 2019 |  M12   | 264.935 |           |
| CUUR0000SA0L1E | 2019 |  M11   | 265.108 |           |
| CUUR0000SA0L1E | 2019 |  M10   | 265.059 |           |
| CUUR0000SA0L1E | 2019 |  M09   | 264.522 |           |
| CUUR0000SA0L1E | 2019 |  M08   | 264.169 |           |
| CUUR0000SA0L1E | 2019 |  M07   | 263.566 |           |
| CUUR0000SA0L1E | 2019 |  M06   | 263.177 |           |
| CUUR0000SA0L1E | 2019 |  M05   | 262.590 |           |
| CUUR0000SA0L1E | 2019 |  M04   | 262.332 |           |
| CUUR0000SA0L1E | 2019 |  M03   | 261.836 |           |
| CUUR0000SA0L1E | 2019 |  M02   | 261.114 |           |
| CUUR0000SA0L1E | 2019 |  M01   | 260.122 |           |
| CUUR0000SA0L1E | 2018 |  M12   | 259.083 |           |
| CUUR0000SA0L1E | 2018 |  M11   | 259.105 |           |
| CUUR0000SA0L1E | 2018 |  M10   | 259.063 |           |
| CUUR0000SA0L1E | 2018 |  M09   | 258.429 |           |
| CUUR0000SA0L1E | 2018 |  M08   | 258.012 |           |
| CUUR0000SA0L1E | 2018 |  M07   | 257.867 |           |
| CUUR0000SA0L1E | 2018 |  M06   | 257.697 |           |
| CUUR0000SA0L1E | 2018 |  M05   | 257.469 |           |
| CUUR0000SA0L1E | 2018 |  M04   | 257.025 |           |
| CUUR0000SA0L1E | 2018 |  M03   | 256.610 |           |
| CUUR0000SA0L1E | 2018 |  M02   | 255.783 |           |
| CUUR0000SA0L1E | 2018 |  M01   | 254.638 |           |
| CUUR0000SA0L1E | 2017 |  M12   | 253.558 |           |
| CUUR0000SA0L1E | 2017 |  M11   | 253.492 |           |
| CUUR0000SA0L1E | 2017 |  M10   | 253.638 |           |
| CUUR0000SA0L1E | 2017 |  M09   | 252.941 |           |
| CUUR0000SA0L1E | 2017 |  M08   | 252.460 |           |
| CUUR0000SA0L1E | 2017 |  M07   | 251.936 |           |
| CUUR0000SA0L1E | 2017 |  M06   | 252.014 |           |
| CUUR0000SA0L1E | 2017 |  M05   | 251.835 |           |
