+-----------------------+------+--------+-------+-----------+
|       series id       | year | period | value | footnotes |
+-----------------------+------+--------+-------+-----------+
| JTU000000000000000LDR | 2022 |  M12   |  1.1  |           |
| JTU000000000000000LDR | 2022 |  M11   |  0.9  |           |
| JTU000000000000000LDR | 2022 |  M10   |  1.0  |           |
| JTU000000000000000LDR | 2022 |  M09   |  1.0  |           |
| JTU000000000000000LDR | 2022 |  M08   |  1.1  |           |
| JTU000000000000000LDR | 2022 |  M07   |  0.9  |           |
| JTU000000000000000LDR | 2022 |  M06   |  1.0  |           |
| JTU000000000000000LDR | 2022 |  M05   |  0.9  |           |
| JTU000000000000000LDR | 2022 |  M04   |  0.8  |           |
| JTU000000000000000LDR | 2022 |  M03   |  0.7  |           |
| JTU000000000000000LDR | 2022 |  M02   |  0.8  |           |
| JTU000000000000000LDR | 2022 |  M01   |  1.2  |           |
| JTU000000000000000LDR | 2021 |  M12   |  1.1  |           |
| JTU000000000000000LDR | 2021 |  M11   |  0.9  |           |
| JTU000000000000000LDR | 2021 |  M10   |  0.9  |           |
| JTU000000000000000LDR | 2021 |  M09   |  1.0  |           |
| JTU000000000000000LDR | 2021 |  M08   |  1.0  |           |
| JTU000000000000000LDR | 2021 |  M07   |  0.9  |           |
| JTU000000000000000LDR | 2021 |  M06   |  0.9  |           |
| JTU000000000000000LDR | 2021 |  M05   |  0.8  |           |
| JTU000000000000000LDR | 2021 |  M04   |  0.9  |           |
| JTU000000000000000LDR | 2021 |  M03   |  0.8  |           |
| JTU000000000000000LDR | 2021 |  M02   |  1.0  |           |
| JTU000000000000000LDR | 2021 |  M01   |  1.5  |           |
| JTU000000000000000LDR | 2020 |  M12   |  1.5  |           |
| JTU000000000000000LDR | 2020 |  M11   |  1.4  |           |
| JTU000000000000000LDR | 2020 |  M10   |  1.2  |           |
| JTU000000000000000LDR | 2020 |  M09   |  1.2  |           |
| JTU000000000000000LDR | 2020 |  M08   |  1.2  |           |
| JTU000000000000000LDR | 2020 |  M07   |  1.3  |           |
| JTU000000000000000LDR | 2020 |  M06   |  1.6  |           |
| JTU000000000000000LDR | 2020 |  M05   |  1.5  |           |
| JTU000000000000000LDR | 2020 |  M04   |  6.9  |           |
| JTU000000000000000LDR | 2020 |  M03   |  8.5  |           |
| JTU000000000000000LDR | 2020 |  M02   |  1.0  |           |
| JTU000000000000000LDR | 2020 |  M01   |  1.5  |           |
| JTU000000000000000LDR | 2019 |  M12   |  1.5  |           |
| JTU000000000000000LDR | 2019 |  M11   |  1.2  |           |
| JTU000000000000000LDR | 2019 |  M10   |  1.2  |           |
| JTU000000000000000LDR | 2019 |  M09   |  1.4  |           |
| JTU000000000000000LDR | 2019 |  M08   |  1.3  |           |
| JTU000000000000000LDR | 2019 |  M07   |  1.2  |           |
| JTU000000000000000LDR | 2019 |  M06   |  1.1  |           |
| JTU000000000000000LDR | 2019 |  M05   |  1.1  |           |
| JTU000000000000000LDR | 2019 |  M04   |  1.2  |           |
| JTU000000000000000LDR | 2019 |  M03   |  0.9  |           |
| JTU000000000000000LDR | 2019 |  M02   |  0.9  |           |
| JTU000000000000000LDR | 2019 |  M01   |  1.4  |           |
| JTU000000000000000LDR | 2018 |  M12   |  1.4  |           |
| JTU000000000000000LDR | 2018 |  M11   |  1.3  |           |
| JTU000000000000000LDR | 2018 |  M10   |  1.3  |           |
| JTU000000000000000LDR | 2018 |  M09   |  1.3  |           |
| JTU000000000000000LDR | 2018 |  M08   |  1.3  |           |
| JTU000000000000000LDR | 2018 |  M07   |  1.2  |           |
| JTU000000000000000LDR | 2018 |  M06   |  1.2  |           |
| JTU000000000000000LDR | 2018 |  M05   |  1.1  |           |
| JTU000000000000000LDR | 2018 |  M04   |  1.1  |           |
| JTU000000000000000LDR | 2018 |  M03   |  1.0  |           |
| JTU000000000000000LDR | 2018 |  M02   |  0.9  |           |
| JTU000000000000000LDR | 2018 |  M01   |  1.7  |           |
| JTU000000000000000LDR | 2017 |  M12   |  1.3  |           |
| JTU000000000000000LDR | 2017 |  M11   |  1.2  |           |
| JTU000000000000000LDR | 2017 |  M10   |  1.3  |           |
| JTU000000000000000LDR | 2017 |  M09   |  1.4  |           |
| JTU000000000000000LDR | 2017 |  M08   |  1.4  |           |
| JTU000000000000000LDR | 2017 |  M07   |  1.2  |           |
| JTU000000000000000LDR | 2017 |  M06   |  1.3  |           |
| JTU000000000000000LDR | 2017 |  M05   |  1.2  |           |
| JTU000000000000000LDR | 2017 |  M04   |  1.1  |           |
| JTU000000000000000LDR | 2017 |  M03   |  1.0  |           |
| JTU000000000000000LDR | 2017 |  M02   |  0.9  |           |
| JTU000000000000000LDR | 2017 |  M01   |  1.5  |           |
| JTU000000000000000LDR | 2016 |  M12   |  1.3  |           |
| JTU000000000000000LDR | 2016 |  M11   |  1.2  |           |
| JTU000000000000000LDR | 2016 |  M10   |  1.2  |           |
| JTU000000000000000LDR | 2016 |  M09   |  1.2  |           |
| JTU000000000000000LDR | 2016 |  M08   |  1.4  |           |
| JTU000000000000000LDR | 2016 |  M07   |  1.2  |           |
| JTU000000000000000LDR | 2016 |  M06   |  1.2  |           |
| JTU000000000000000LDR | 2016 |  M05   |  1.2  |           |
| JTU000000000000000LDR | 2016 |  M04   |  1.1  |           |
| JTU000000000000000LDR | 2016 |  M03   |  1.1  |           |
| JTU000000000000000LDR | 2016 |  M02   |  1.1  |           |
| JTU000000000000000LDR | 2016 |  M01   |  1.6  |           |
| JTU000000000000000LDR | 2015 |  M12   |  1.4  |           |
| JTU000000000000000LDR | 2015 |  M11   |  1.2  |           |
| JTU000000000000000LDR | 2015 |  M10   |  1.3  |           |
| JTU000000000000000LDR | 2015 |  M09   |  1.5  |           |
| JTU000000000000000LDR | 2015 |  M08   |  1.4  |           |
| JTU000000000000000LDR | 2015 |  M07   |  1.2  |           |
| JTU000000000000000LDR | 2015 |  M06   |  1.3  |           |
| JTU000000000000000LDR | 2015 |  M05   |  1.2  |           |
| JTU000000000000000LDR | 2015 |  M04   |  1.2  |           |
| JTU000000000000000LDR | 2015 |  M03   |  1.1  |           |
| JTU000000000000000LDR | 2015 |  M02   |  1.0  |           |
| JTU000000000000000LDR | 2015 |  M01   |  1.6  |           |
| JTU000000000000000LDR | 2014 |  M12   |  1.5  |           |
| JTU000000000000000LDR | 2014 |  M11   |  1.2  |           |
| JTU000000000000000LDR | 2014 |  M10   |  1.3  |           |
| JTU000000000000000LDR | 2014 |  M09   |  1.3  |           |
| JTU000000000000000LDR | 2014 |  M08   |  1.3  |           |
| JTU000000000000000LDR | 2014 |  M07   |  1.3  |           |
| JTU000000000000000LDR | 2014 |  M06   |  1.2  |           |
| JTU000000000000000LDR | 2014 |  M05   |  1.2  |           |
| JTU000000000000000LDR | 2014 |  M04   |  1.2  |           |
| JTU000000000000000LDR | 2014 |  M03   |  1.0  |           |
| JTU000000000000000LDR | 2014 |  M02   |  1.0  |           |
| JTU000000000000000LDR | 2014 |  M01   |  1.7  |           |
| JTU000000000000000LDR | 2013 |  M12   |  1.4  |           |
| JTU000000000000000LDR | 2013 |  M11   |  1.1  |           |
