+---------------+------+--------+--------+-----------+
|   series id   | year | period | value  | footnotes |
+---------------+------+--------+--------+-----------+
| CEU0800000001 | 2022 |  M12   | 111369 |           |
| CEU0800000001 | 2022 |  M11   | 111365 |           |
| CEU0800000001 | 2022 |  M10   | 110869 |           |
| CEU0800000001 | 2022 |  M09   | 109993 |           |
| CEU0800000001 | 2022 |  M08   | 110297 |           |
| CEU0800000001 | 2022 |  M07   | 110263 |           |
| CEU0800000001 | 2022 |  M06   | 109809 |           |
| CEU0800000001 | 2022 |  M05   | 108781 |           |
| CEU0800000001 | 2022 |  M04   | 108120 |           |
| CEU0800000001 | 2022 |  M03   | 107366 |           |
| CEU0800000001 | 2022 |  M02   | 106815 |           |
| CEU0800000001 | 2022 |  M01   | 105663 |           |
| CEU0800000001 | 2021 |  M12   | 107710 |           |
| CEU0800000001 | 2021 |  M11   | 107311 |           |
| CEU0800000001 | 2021 |  M10   | 106451 |           |
| CEU0800000001 | 2021 |  M09   | 105116 |           |
| CEU0800000001 | 2021 |  M08   | 105226 |           |
| CEU0800000001 | 2021 |  M07   | 105047 |           |
| CEU0800000001 | 2021 |  M06   | 104251 |           |
| CEU0800000001 | 2021 |  M05   | 102981 |           |
| CEU0800000001 | 2021 |  M04   | 102112 |           |
| CEU0800000001 | 2021 |  M03   | 101231 |           |
| CEU0800000001 | 2021 |  M02   | 100466 |           |
| CEU0800000001 | 2021 |  M01   | 99632  |           |
| CEU0800000001 | 2020 |  M12   | 101558 |           |
| CEU0800000001 | 2020 |  M11   | 101853 |           |
| CEU0800000001 | 2020 |  M10   | 101255 |           |
| CEU0800000001 | 2020 |  M09   | 99901  |           |
| CEU0800000001 | 2020 |  M08   | 99472  |           |
| CEU0800000001 | 2020 |  M07   | 98631  |           |
| CEU0800000001 | 2020 |  M06   | 97215  |           |
| CEU0800000001 | 2020 |  M05   | 92484  |           |
| CEU0800000001 | 2020 |  M04   | 89589  |           |
| CEU0800000001 | 2020 |  M03   | 106187 |           |
| CEU0800000001 | 2020 |  M02   | 107193 |           |
| CEU0800000001 | 2020 |  M01   | 106780 |           |
| CEU0800000001 | 2019 |  M12   | 108823 |           |
| CEU0800000001 | 2019 |  M11   | 108757 |           |
| CEU0800000001 | 2019 |  M10   | 108216 |           |
| CEU0800000001 | 2019 |  M09   | 107563 |           |
| CEU0800000001 | 2019 |  M08   | 108004 |           |
| CEU0800000001 | 2019 |  M07   | 107948 |           |
| CEU0800000001 | 2019 |  M06   | 107893 |           |
| CEU0800000001 | 2019 |  M05   | 107152 |           |
| CEU0800000001 | 2019 |  M04   | 106593 |           |
| CEU0800000001 | 2019 |  M03   | 105799 |           |
| CEU0800000001 | 2019 |  M02   | 105336 |           |
| CEU0800000001 | 2019 |  M01   | 104961 |           |
| CEU0800000001 | 2018 |  M12   | 107110 |           |
| CEU0800000001 | 2018 |  M11   | 107086 |           |
| CEU0800000001 | 2018 |  M10   | 106613 |           |
| CEU0800000001 | 2018 |  M09   | 106021 |           |
| CEU0800000001 | 2018 |  M08   | 106587 |           |
| CEU0800000001 | 2018 |  M07   | 106514 |           |
| CEU0800000001 | 2018 |  M06   | 106558 |           |
| CEU0800000001 | 2018 |  M05   | 105817 |           |
| CEU0800000001 | 2018 |  M04   | 105104 |           |
| CEU0800000001 | 2018 |  M03   | 104390 |           |
| CEU0800000001 | 2018 |  M02   | 103895 |           |
| CEU0800000001 | 2018 |  M01   | 103303 |           |
| CEU0800000001 | 2017 |  M12   | 105522 |           |
| CEU0800000001 | 2017 |  M11   | 105532 |           |
| CEU0800000001 | 2017 |  M10   | 105040 |           |
| CEU0800000001 | 2017 |  M09   | 104453 |           |
| CEU0800000001 | 2017 |  M08   | 104981 |           |
| CEU0800000001 | 2017 |  M07   | 104994 |           |
| CEU0800000001 | 2017 |  M06   | 104948 |           |
| CEU0800000001 | 2017 |  M05   | 104203 |           |
| CEU0800000001 | 2017 |  M04   | 103538 |           |
| CEU0800000001 | 2017 |  M03   | 102745 |           |
| CEU0800000001 | 2017 |  M02   | 102293 |           |
| CEU0800000001 | 2017 |  M01   | 101832 |           |
| CEU0800000001 | 2016 |  M12   | 103913 |           |
| CEU0800000001 | 2016 |  M11   | 103792 |           |
| CEU0800000001 | 2016 |  M10   | 103382 |           |
| CEU0800000001 | 2016 |  M09   | 102904 |           |
| CEU0800000001 | 2016 |  M08   | 103189 |           |
| CEU0800000001 | 2016 |  M07   | 103137 |           |
| CEU0800000001 | 2016 |  M06   | 103084 |           |
| CEU0800000001 | 2016 |  M05   | 102264 |           |
| CEU0800000001 | 2016 |  M04   | 101733 |           |
| CEU0800000001 | 2016 |  M03   | 100875 |           |
| CEU0800000001 | 2016 |  M02   | 100245 |           |
| CEU0800000001 | 2016 |  M01   | 99826  |           |
| CEU0800000001 | 2015 |  M12   | 101927 |           |
| CEU0800000001 | 2015 |  M11   | 101691 |           |
| CEU0800000001 | 2015 |  M10   | 101287 |           |
| CEU0800000001 | 2015 |  M09   | 100617 |           |
| CEU0800000001 | 2015 |  M08   | 100956 |           |
| CEU0800000001 | 2015 |  M07   | 100983 |           |
| CEU0800000001 | 2015 |  M06   | 100857 |           |
| CEU0800000001 | 2015 |  M05   | 100213 |           |
| CEU0800000001 | 2015 |  M04   | 99456  |           |
| CEU0800000001 | 2015 |  M03   | 98579  |           |
| CEU0800000001 | 2015 |  M02   | 98022  |           |
| CEU0800000001 | 2015 |  M01   | 97635  |           |
| CEU0800000001 | 2014 |  M12   | 99602  |           |
| CEU0800000001 | 2014 |  M11   | 99341  |           |
| CEU0800000001 | 2014 |  M10   | 98898  |           |
| CEU0800000001 | 2014 |  M09   | 98343  |           |
| CEU0800000001 | 2014 |  M08   | 98626  |           |
| CEU0800000001 | 2014 |  M07   | 98531  |           |
| CEU0800000001 | 2014 |  M06   | 98497  |           |
| CEU0800000001 | 2014 |  M05   | 97812  |           |
| CEU0800000001 | 2014 |  M04   | 97108  |           |
| CEU0800000001 | 2014 |  M03   | 96269  |           |
| CEU0800000001 | 2014 |  M02   | 95610  |           |
| CEU0800000001 | 2014 |  M01   | 95336  |           |
| CEU0800000001 | 2013 |  M12   | 97302  |           |
| CEU0800000001 | 2013 |  M11   | 97204  |           |
| CEU0800000001 | 2013 |  M10   | 96710  |           |
| CEU0800000001 | 2013 |  M09   | 96252  |           |
| CEU0800000001 | 2013 |  M08   | 96578  |           |
| CEU0800000001 | 2013 |  M07   | 96462  |           |
| CEU0800000001 | 2013 |  M06   | 96427  |           |
| CEU0800000001 | 2013 |  M05   | 95832  |           |
| CEU0800000001 | 2013 |  M04   | 95146  |           |
| CEU0800000001 | 2013 |  M03   | 94345  |           |
| CEU0800000001 | 2013 |  M02   | 93754  |           |
| CEU0800000001 | 2013 |  M01   | 93260  |           |
+---------------+------+--------+--------+-----------+
