seriesId,seasonality,survey_name,measure_data_type,commerce_industry,commerce_sector,area,year,period,periodName,value
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2023,M02,February,153955
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2023,M01,January,152836
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M13,Annual,152575
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M12,December,155344
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M11,November,155642
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M10,October,155041
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M09,September,153809
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M08,August,153285
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M07,July,152875
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M06,June,153217
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M05,May,152291
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M04,April,151449
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M03,March,150411
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M02,February,149606
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2022,M01,January,147932
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M13,Annual,146285
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M12,December,150740
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M11,November,150543
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M10,October,149605
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M09,September,147917
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M08,August,147159
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M07,July,146619
CEU0000000001,Not Seasonally Adjusted,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)","ALL EMPLOYEES, THOUSANDS",Total nonfarm,Total nonfarm,,2021,M06,June,146626
