observation_date,REAINTRATREARAT10Y
Jan-13,0.08440142
Feb-13,0.17210018
Mar-13,0.05034072
Apr-13,-0.02421188
May-13,-0.01939123
Jun-13,0.22769375
Jul-13,0.54638104
Aug-13,0.47506869
Sep-13,0.54083451
Oct-13,0.49296942
Nov-13,0.48963774
Dec-13,0.41829993
Jan-14,0.68063671
Feb-14,0.50867731
Mar-14,0.58045318
Apr-14,0.70222210
May-14,0.62685415
Jun-14,0.62452944
Jul-14,0.59099495
Aug-14,0.64940570
Sep-14,0.58085993
Oct-14,0.70096470
Nov-14,0.71330026
Dec-14,0.38472537
Jan-15,0.70994280
Feb-15,0.53838038
Mar-15,0.75170542
Apr-15,0.41032252
May-15,0.53392144
Jun-15,0.55377780
Jul-15,0.66707490
Aug-15,0.54830556
Sep-15,0.51245991
Oct-15,0.52877171
Nov-15,0.66620570
Dec-15,0.64742223
Jan-16,0.73450597
Feb-16,0.53873800
Mar-16,0.55140742
Apr-16,0.34527268
May-16,0.41364983
Jun-16,0.51909852
Jul-16,0.16534694
Aug-16,0.22683746
Sep-16,0.21607430
Oct-16,0.28979681
Nov-16,0.34660933
Dec-16,0.70045658
Jan-17,0.72565107
Feb-17,0.77438158
Mar-17,0.91650302
Apr-17,0.76575378
May-17,0.77640880
Jun-17,0.73611135
Jul-17,0.72501612
Aug-17,0.67086016
Sep-17,0.56521264
Oct-17,0.72914351
Nov-17,0.75219045
Dec-17,0.57304923
Jan-18,0.87378801
Feb-18,1.08846929
Mar-18,1.02953583
Apr-18,1.01435433
May-18,1.21609180
Jun-18,1.24572814
Jul-18,1.15523371
Aug-18,1.25524162
Sep-18,1.13214690
Oct-18,1.30012681
Nov-18,1.30865835
Dec-18,1.25496666
Jan-19,1.04043434
Feb-19,1.06818285
Mar-19,0.51720765
Apr-19,0.42030375
May-19,0.54042880
Jun-19,0.42130162
Jul-19,0.44057188
Aug-19,0.42005179
Sep-19,0.23500552
Oct-19,0.36832453
Nov-19,0.43361185
Dec-19,0.51426493
Jan-20,0.50509631
Feb-20,0.31598579
Mar-20,-0.12783745
Apr-20,-0.11159442
May-20,-0.02785652
Jun-20,-0.15369936
Jul-20,-0.34534450
Aug-20,-0.40713400
Sep-20,-0.34333693
Oct-20,-0.29173845
Nov-20,-0.21395564
Dec-20,-0.23232146
Jan-21,-0.23501721
Feb-21,-0.23082380
Mar-21,0.01250687
Apr-21,0.11804694
May-21,0.03694758
Jun-21,-0.00566485
Jul-21,0.03504108
Aug-21,-0.26101879
Sep-21,-0.19473087
Oct-21,0.08790114
Nov-21,0.16399788
Dec-21,0.09168917
Jan-22,0.31949510
Feb-22,0.44159289
Mar-22,0.34708992
Apr-22,0.94940027
May-22,1.20389776
Jun-22,1.02509351
Jul-22,1.06217493
Aug-22,0.85562530
Sep-22,1.20424868
Oct-22,1.79733203
Nov-22,1.93071305
Dec-22,1.57612515
Jan-23,1.78309897
Feb-23,1.42020217
Mar-23,2.06151289
