date,value
2023-01-01 00:00:01,4.2
2022-01-01 00:00:12,4.0
2022-01-01 00:00:11,4.3
2022-01-01 00:00:10,4.1
2022-01-01 00:00:09,4.5
2022-01-01 00:00:08,4.5
2022-01-01 00:00:07,5.4
2022-01-01 00:00:06,5.5
2022-01-01 00:00:05,4.7
2022-01-01 00:00:04,4.6
2022-01-01 00:00:03,4.5
2022-01-01 00:00:02,5.6
2022-01-01 00:00:01,6.1
2021-01-01 00:00:12,4.5
2021-01-01 00:00:11,4.6
2021-01-01 00:00:10,5.3
2021-01-01 00:00:09,5.9
2021-01-01 00:00:08,7.0
2021-01-01 00:00:07,7.8
2021-01-01 00:00:06,8.8
2021-01-01 00:00:05,7.8
2021-01-01 00:00:04,7.5
2021-01-01 00:00:03,8.3
2021-01-01 00:00:02,8.6
2021-01-01 00:00:01,8.9
2020-01-01 00:00:12,8.2
2020-01-01 00:00:11,8.1
2020-01-01 00:00:10,8.2
2020-01-01 00:00:09,9.3
2020-01-01 00:00:08,9.3
2020-01-01 00:00:07,12.2
2020-01-01 00:00:06,12.4
2020-01-01 00:00:05,12.1
2020-01-01 00:00:04,15.0
2020-01-01 00:00:03,7.9
2020-01-01 00:00:02,6.3
2020-01-01 00:00:01,6.3
2019-01-01 00:00:12,5.8
2019-01-01 00:00:11,6.0
2019-01-01 00:00:10,5.9
2019-01-01 00:00:09,6.2
2019-01-01 00:00:08,7.1
2019-01-01 00:00:07,8.1
2019-01-01 00:00:06,8.1
2019-01-01 00:00:05,6.4
2019-01-01 00:00:04,6.0
2019-01-01 00:00:03,6.5
2019-01-01 00:00:02,6.4
2019-01-01 00:00:01,6.7
2018-01-01 00:00:12,6.0
2018-01-01 00:00:11,5.4
2018-01-01 00:00:10,5.4
2018-01-01 00:00:09,5.6
2018-01-01 00:00:08,6.3
2018-01-01 00:00:07,7.2
2018-01-01 00:00:06,7.6
2018-01-01 00:00:05,5.9
2018-01-01 00:00:04,5.8
2018-01-01 00:00:03,6.2
2018-01-01 00:00:02,6.7
2018-01-01 00:00:01,6.4
2017-01-01 00:00:12,5.8
2017-01-01 00:00:11,5.9
2017-01-01 00:00:10,6.1
2017-01-01 00:00:09,6.7
2017-01-01 00:00:08,7.0
2017-01-01 00:00:07,8.3
2017-01-01 00:00:06,8.4
2017-01-01 00:00:05,7.4
2017-01-01 00:00:04,6.7
2017-01-01 00:00:03,6.4
2017-01-01 00:00:02,6.6
2017-01-01 00:00:01,7.5
2016-01-01 00:00:12,6.5
2016-01-01 00:00:11,6.5
2016-01-01 00:00:10,7.0
2016-01-01 00:00:09,7.3
2016-01-01 00:00:08,7.2
2016-01-01 00:00:07,8.4
2016-01-01 00:00:06,8.5
2016-01-01 00:00:05,7.9
2016-01-01 00:00:04,6.7
2016-01-01 00:00:03,7.3
2016-01-01 00:00:02,8.1
2016-01-01 00:00:01,8.5
2015-01-01 00:00:12,8.2
2015-01-01 00:00:11,7.8
2015-01-01 00:00:10,7.9
2015-01-01 00:00:09,7.9
2015-01-01 00:00:08,8.1
2015-01-01 00:00:07,9.5
2015-01-01 00:00:06,9.7
2015-01-01 00:00:05,9.8
2015-01-01 00:00:04,8.2
2015-01-01 00:00:03,8.7
2015-01-01 00:00:02,9.4
2015-01-01 00:00:01,10.4
2014-01-01 00:00:12,9.4
2014-01-01 00:00:11,9.2
2014-01-01 00:00:10,9.7
2014-01-01 00:00:09,10.0
2014-01-01 00:00:08,10.5
2014-01-01 00:00:07,11.8
2014-01-01 00:00:06,12.0
2014-01-01 00:00:05,11.1
2014-01-01 00:00:04,9.7
2014-01-01 00:00:03,11.3
2014-01-01 00:00:02,11.3
2014-01-01 00:00:01,11.7
2013-01-01 00:00:12,10.4
2013-01-01 00:00:11,10.7
2013-01-01 00:00:10,11.6
2013-01-01 00:00:09,11.3
2013-01-01 00:00:08,12.0
2013-01-01 00:00:07,12.4
2013-01-01 00:00:06,13.3
2013-01-01 00:00:05,12.3
2013-01-01 00:00:04,11.4
2013-01-01 00:00:03,11.7
2013-01-01 00:00:02,12.1
2013-01-01 00:00:01,12.9
2012-01-01 00:00:12,11.5
2012-01-01 00:00:11,10.9
2012-01-01 00:00:10,11.5
2012-01-01 00:00:09,11.6
2012-01-01 00:00:08,12.0
2012-01-01 00:00:07,12.6
2012-01-01 00:00:06,12.7
2012-01-01 00:00:05,12.0
2012-01-01 00:00:04,11.0
2012-01-01 00:00:03,12.0
2012-01-01 00:00:02,12.6
2012-01-01 00:00:01,12.6
2011-01-01 00:00:12,12.4
2011-01-01 00:00:11,12.2
2011-01-01 00:00:10,12.7
2011-01-01 00:00:09,13.0
2011-01-01 00:00:08,13.3
2011-01-01 00:00:07,14.0
2011-01-01 00:00:06,14.1
2011-01-01 00:00:05,13.1
2011-01-01 00:00:04,12.3
2011-01-01 00:00:03,12.4
2011-01-01 00:00:02,12.7
2011-01-01 00:00:01,12.7
2010-01-01 00:00:12,12.6
2010-01-01 00:00:11,12.5
2010-01-01 00:00:10,12.2
2010-01-01 00:00:09,12.5
2010-01-01 00:00:08,11.9
2010-01-01 00:00:07,14.1
2010-01-01 00:00:06,13.6
2010-01-01 00:00:05,13.6
2010-01-01 00:00:04,12.7
2010-01-01 00:00:03,13.8
2010-01-01 00:00:02,14.2
2010-01-01 00:00:01,14.8
