date,value
2023-01-01 00:00:02,3.6
2023-01-01 00:00:01,3.4
2022-01-01 00:00:12,3.5
2022-01-01 00:00:11,3.6
2022-01-01 00:00:10,3.7
2022-01-01 00:00:09,3.5
2022-01-01 00:00:08,3.7
2022-01-01 00:00:07,3.5
2022-01-01 00:00:06,3.6
2022-01-01 00:00:05,3.6
2022-01-01 00:00:04,3.6
2022-01-01 00:00:03,3.6
2022-01-01 00:00:02,3.8
2022-01-01 00:00:01,4.0
2021-01-01 00:00:12,3.9
2021-01-01 00:00:11,4.2
2021-01-01 00:00:10,4.5
2021-01-01 00:00:09,4.8
2021-01-01 00:00:08,5.2
2021-01-01 00:00:07,5.4
2021-01-01 00:00:06,5.9
2021-01-01 00:00:05,5.8
2021-01-01 00:00:04,6.1
2021-01-01 00:00:03,6.1
2021-01-01 00:00:02,6.2
2021-01-01 00:00:01,6.3
2020-01-01 00:00:12,6.7
2020-01-01 00:00:11,6.7
2020-01-01 00:00:10,6.9
2020-01-01 00:00:09,7.9
2020-01-01 00:00:08,8.4
2020-01-01 00:00:07,10.2
2020-01-01 00:00:06,11.0
2020-01-01 00:00:05,13.2
2020-01-01 00:00:04,14.7
2020-01-01 00:00:03,4.4
2020-01-01 00:00:02,3.5
2020-01-01 00:00:01,3.5
2019-01-01 00:00:12,3.6
2019-01-01 00:00:11,3.6
2019-01-01 00:00:10,3.6
2019-01-01 00:00:09,3.5
2019-01-01 00:00:08,3.7
2019-01-01 00:00:07,3.7
2019-01-01 00:00:06,3.6
2019-01-01 00:00:05,3.7
2019-01-01 00:00:04,3.6
2019-01-01 00:00:03,3.8
2019-01-01 00:00:02,3.8
2019-01-01 00:00:01,4.0
2018-01-01 00:00:12,3.9
2018-01-01 00:00:11,3.8
2018-01-01 00:00:10,3.8
2018-01-01 00:00:09,3.7
2018-01-01 00:00:08,3.8
2018-01-01 00:00:07,3.8
2018-01-01 00:00:06,4.0
2018-01-01 00:00:05,3.8
2018-01-01 00:00:04,4.0
2018-01-01 00:00:03,4.0
2018-01-01 00:00:02,4.1
2018-01-01 00:00:01,4.0
2017-01-01 00:00:12,4.1
2017-01-01 00:00:11,4.2
2017-01-01 00:00:10,4.2
2017-01-01 00:00:09,4.3
2017-01-01 00:00:08,4.4
2017-01-01 00:00:07,4.3
2017-01-01 00:00:06,4.3
2017-01-01 00:00:05,4.4
2017-01-01 00:00:04,4.4
2017-01-01 00:00:03,4.4
2017-01-01 00:00:02,4.6
2017-01-01 00:00:01,4.7
2016-01-01 00:00:12,4.7
2016-01-01 00:00:11,4.7
2016-01-01 00:00:10,4.9
2016-01-01 00:00:09,5.0
2016-01-01 00:00:08,4.9
2016-01-01 00:00:07,4.8
2016-01-01 00:00:06,4.9
2016-01-01 00:00:05,4.8
2016-01-01 00:00:04,5.1
2016-01-01 00:00:03,5.0
2016-01-01 00:00:02,4.9
2016-01-01 00:00:01,4.8
2015-01-01 00:00:12,5.0
2015-01-01 00:00:11,5.1
2015-01-01 00:00:10,5.0
2015-01-01 00:00:09,5.0
2015-01-01 00:00:08,5.1
2015-01-01 00:00:07,5.2
2015-01-01 00:00:06,5.3
2015-01-01 00:00:05,5.6
2015-01-01 00:00:04,5.4
2015-01-01 00:00:03,5.4
2015-01-01 00:00:02,5.5
2015-01-01 00:00:01,5.7
2014-01-01 00:00:12,5.6
2014-01-01 00:00:11,5.8
2014-01-01 00:00:10,5.7
2014-01-01 00:00:09,5.9
2014-01-01 00:00:08,6.1
2014-01-01 00:00:07,6.2
2014-01-01 00:00:06,6.1
2014-01-01 00:00:05,6.3
2014-01-01 00:00:04,6.2
2014-01-01 00:00:03,6.7
2014-01-01 00:00:02,6.7
2014-01-01 00:00:01,6.6
2013-01-01 00:00:12,6.7
2013-01-01 00:00:11,6.9
2013-01-01 00:00:10,7.2
2013-01-01 00:00:09,7.2
2013-01-01 00:00:08,7.2
2013-01-01 00:00:07,7.3
2013-01-01 00:00:06,7.5
2013-01-01 00:00:05,7.5
2013-01-01 00:00:04,7.6
2013-01-01 00:00:03,7.5
2013-01-01 00:00:02,7.7
2013-01-01 00:00:01,8.0
2012-01-01 00:00:12,7.9
2012-01-01 00:00:11,7.7
2012-01-01 00:00:10,7.8
2012-01-01 00:00:09,7.8
2012-01-01 00:00:08,8.1
2012-01-01 00:00:07,8.2
2012-01-01 00:00:06,8.2
2012-01-01 00:00:05,8.2
2012-01-01 00:00:04,8.2
2012-01-01 00:00:03,8.2
2012-01-01 00:00:02,8.3
2012-01-01 00:00:01,8.3
2011-01-01 00:00:12,8.5
2011-01-01 00:00:11,8.6
2011-01-01 00:00:10,8.8
2011-01-01 00:00:09,9.0
2011-01-01 00:00:08,9.0
2011-01-01 00:00:07,9.0
2011-01-01 00:00:06,9.1
2011-01-01 00:00:05,9.0
2011-01-01 00:00:04,9.1
2011-01-01 00:00:03,9.0
2011-01-01 00:00:02,9.0
2011-01-01 00:00:01,9.1
2010-01-01 00:00:12,9.3
2010-01-01 00:00:11,9.8
2010-01-01 00:00:10,9.4
2010-01-01 00:00:09,9.5
2010-01-01 00:00:08,9.5
2010-01-01 00:00:07,9.4
2010-01-01 00:00:06,9.4
2010-01-01 00:00:05,9.6
2010-01-01 00:00:04,9.9
2010-01-01 00:00:03,9.9
2010-01-01 00:00:02,9.8
2010-01-01 00:00:01,9.8
