date,value
2013-01-01 00:00:05,1383
2013-01-01 00:00:04,1174
2013-01-01 00:00:03,1132
2013-01-01 00:00:02,960
2013-01-01 00:00:01,1528
2012-01-01 00:00:12,1973
2012-01-01 00:00:11,2339
2012-01-01 00:00:10,1142
2012-01-01 00:00:09,811
2012-01-01 00:00:08,1063
2012-01-01 00:00:07,1515
2012-01-01 00:00:06,1890
2012-01-01 00:00:05,1201
2012-01-01 00:00:04,1421
2012-01-01 00:00:03,1125
2012-01-01 00:00:02,895
2012-01-01 00:00:01,1705
2011-01-01 00:00:12,2433
2011-01-01 00:00:11,1393
2011-01-01 00:00:10,1101
2011-01-01 00:00:09,1189
2011-01-01 00:00:08,961
2011-01-01 00:00:07,2176
2011-01-01 00:00:06,1661
2011-01-01 00:00:05,1367
2011-01-01 00:00:04,1750
2011-01-01 00:00:03,908
2011-01-01 00:00:02,1024
2011-01-01 00:00:01,2558
2010-01-01 00:00:12,1931
2010-01-01 00:00:11,1676
2010-01-01 00:00:10,1642
2010-01-01 00:00:09,920
2010-01-01 00:00:08,976
2010-01-01 00:00:07,2124
2010-01-01 00:00:06,1861
2010-01-01 00:00:05,1354
2010-01-01 00:00:04,1840
2010-01-01 00:00:03,1197
2010-01-01 00:00:02,1183
2010-01-01 00:00:01,2860
