CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,
,,,,,,,,,,,,
Series Title,"All items in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,,,,,
Series ID,CUSR0000SA0,,,,,,,,,,,
Seasonality,Seasonally Adjusted,,,,,,,,,,,
Survey Name,CPI for All Urban Consumers (CPI-U),,,,,,,,,,,
Measure Data Type,All items,,,,,,,,,,,
Area,U.S. city average,,,,,,,,,,,
Item,All items,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Period,Label,Observation Value,,,,,,,,,
2010,M01,2010 Jan,217.488,,,,,,,,,
2010,M02,2010 Feb,217.281,,,,,,,,,
2010,M03,2010 Mar,217.353,,,,,,,,,
2010,M04,2010 Apr,217.403,,,,,,,,,
2010,M05,2010 May,217.290,,,,,,,,,
2010,M06,2010 Jun,217.199,,,,,,,,,
2010,M07,2010 Jul,217.605,,,,,,,,,
2010,M08,2010 Aug,217.923,,,,,,,,,
2010,M09,2010 Sep,218.275,,,,,,,,,
2010,M10,2010 Oct,219.035,,,,,,,,,
2010,M11,2010 Nov,219.590,,,,,,,,,
2010,M12,2010 Dec,220.472,,,,,,,,,
2011,M01,2011 Jan,221.187,,,,,,,,,
2011,M02,2011 Feb,221.898,,,,,,,,,
2011,M03,2011 Mar,223.046,,,,,,,,,
2011,M04,2011 Apr,224.093,,,,,,,,,
2011,M05,2011 May,224.806,,,,,,,,,
2011,M06,2011 Jun,224.806,,,,,,,,,
2011,M07,2011 Jul,225.395,,,,,,,,,
2011,M08,2011 Aug,226.106,,,,,,,,,
2011,M09,2011 Sep,226.597,,,,,,,,,
2011,M10,2011 Oct,226.750,,,,,,,,,
2011,M11,2011 Nov,227.169,,,,,,,,,
2011,M12,2011 Dec,227.223,,,,,,,,,
2012,M01,2012 Jan,227.842,,,,,,,,,
2012,M02,2012 Feb,228.329,,,,,,,,,
2012,M03,2012 Mar,228.807,,,,,,,,,
2012,M04,2012 Apr,229.187,,,,,,,,,
2012,M05,2012 May,228.713,,,,,,,,,
2012,M06,2012 Jun,228.524,,,,,,,,,
2012,M07,2012 Jul,228.590,,,,,,,,,
2012,M08,2012 Aug,229.918,,,,,,,,,
2012,M09,2012 Sep,231.015,,,,,,,,,
2012,M10,2012 Oct,231.638,,,,,,,,,
2012,M11,2012 Nov,231.249,,,,,,,,,
2012,M12,2012 Dec,231.221,,,,,,,,,
2013,M01,2013 Jan,231.679,,,,,,,,,
2013,M02,2013 Feb,232.937,,,,,,,,,
2013,M03,2013 Mar,232.282,,,,,,,,,
2013,M04,2013 Apr,231.797,,,,,,,,,
2013,M05,2013 May,231.893,,,,,,,,,
2013,M06,2013 Jun,232.445,,,,,,,,,
2013,M07,2013 Jul,232.900,,,,,,,,,
2013,M08,2013 Aug,233.456,,,,,,,,,
2013,M09,2013 Sep,233.544,,,,,,,,,
2013,M10,2013 Oct,233.669,,,,,,,,,
2013,M11,2013 Nov,234.100,,,,,,,,,
2013,M12,2013 Dec,234.719,,,,,,,,,
2014,M01,2014 Jan,235.288,,,,,,,,,
2014,M02,2014 Feb,235.547,,,,,,,,,
2014,M03,2014 Mar,236.028,,,,,,,,,
2014,M04,2014 Apr,236.468,,,,,,,,,
2014,M05,2014 May,236.918,,,,,,,,,
2014,M06,2014 Jun,237.231,,,,,,,,,
2014,M07,2014 Jul,237.498,,,,,,,,,
2014,M08,2014 Aug,237.460,,,,,,,,,
2014,M09,2014 Sep,237.477,,,,,,,,,
2014,M10,2014 Oct,237.430,,,,,,,,,
2014,M11,2014 Nov,236.983,,,,,,,,,
2014,M12,2014 Dec,236.252,,,,,,,,,
2015,M01,2015 Jan,234.747,,,,,,,,,
2015,M02,2015 Feb,235.342,,,,,,,,,
2015,M03,2015 Mar,235.976,,,,,,,,,
2015,M04,2015 Apr,236.222,,,,,,,,,
2015,M05,2015 May,237.001,,,,,,,,,
2015,M06,2015 Jun,237.657,,,,,,,,,
2015,M07,2015 Jul,238.034,,,,,,,,,
2015,M08,2015 Aug,238.033,,,,,,,,,
2015,M09,2015 Sep,237.498,,,,,,,,,
2015,M10,2015 Oct,237.733,,,,,,,,,
2015,M11,2015 Nov,238.017,,,,,,,,,
2015,M12,2015 Dec,237.761,,,,,,,,,
2016,M01,2016 Jan,237.652,,,,,,,,,
2016,M02,2016 Feb,237.336,,,,,,,,,
2016,M03,2016 Mar,238.080,,,,,,,,,
2016,M04,2016 Apr,238.992,,,,,,,,,
2016,M05,2016 May,239.557,,,,,,,,,
2016,M06,2016 Jun,240.222,,,,,,,,,
2016,M07,2016 Jul,240.101,,,,,,,,,
2016,M08,2016 Aug,240.545,,,,,,,,,
2016,M09,2016 Sep,241.176,,,,,,,,,
2016,M10,2016 Oct,241.741,,,,,,,,,
2016,M11,2016 Nov,242.026,,,,,,,,,
2016,M12,2016 Dec,242.637,,,,,,,,,
