"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,6.46328109166667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,5.113525575,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,3.70198824166667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,6.025,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,6.2,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,4.75833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,5.54166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,6.275,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,5.575,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,9.69166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,7.54166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,5.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.55,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.80833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,2.4,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,5.625,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,5.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,4.45,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,7.725,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,7.675,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,6.76666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,8.03333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,7.875,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,7.31666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.625,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,3.575,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DEU","Germany","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,3.06666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,17.6166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,14.7916666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,12.4583333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,4.14166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.04166666666667,,
